province,year,poverty_line_avg,poverty_line_max
PAPUA,2021,1208731.7,1277774.0
PAPUA,2022,1317675.0,1400121.0
PAPUA BARAT,2015,910022.3,930721.0
PAPUA BARAT,2016,970621.7,995989.0
PAPUA BARAT,2017,1012173.0,1039230.0
PAPUA BARAT,2018,1080575.3,1113825.0
PAPUA BARAT,2019,1169014.3,1215685.0
PAPUA BARAT,2020,1230376.0,1265277.0
PAPUA BARAT,2021,1288498.0,1338026.0
PAPUA BARAT,2022,1379910.3,1441944.0
RIAU,2015,817128.3,822570.0
RIAU,2016,862961.3,865888.0
RIAU,2017,922499.0,937874.0
RIAU,2018,969334.0,990781.0
RIAU,2019,1029179.7,1060254.0
RIAU,2020,1096210.7,1143318.0
RIAU,2021,1159176.0,1213822.0
RIAU,2022,1263277.0,1328953.0
SULAWESI BARAT,2015,536049.7,542704.0
SULAWESI BARAT,2016,572926.0,586079.0
SULAWESI BARAT,2017,617436.3,619986.0
SULAWESI BARAT,2018,644328.7,647750.0
SULAWESI BARAT,2019,668464.3,669455.0
SULAWESI BARAT,2020,705847.0,711960.0
SULAWESI BARAT,2021,749144.3,751191.0
SULAWESI BARAT,2022,832506.3,833679.0
SULAWESI SELATAN,2015,513749.0,536303.0
SULAWESI SELATAN,2016,548469.7,568345.0
SULAWESI SELATAN,2017,580173.0,600478.0
SULAWESI SELATAN,2018,623574.3,642274.0
SULAWESI SELATAN,2019,672829.3,693767.0
SULAWESI SELATAN,2020,713884.3,738824.0
SULAWESI SELATAN,2021,759098.7,793555.0
SULAWESI SELATAN,2022,824741.0,862889.0
SULAWESI TENGAH,2015,705721.7,734895.0
SULAWESI TENGAH,2016,765322.0,790483.0
SULAWESI TENGAH,2017,810400.7,847181.0
SULAWESI TENGAH,2018,844559.0,872111.0
SULAWESI TENGAH,2019,913416.3,938629.0
SULAWESI TENGAH,2020,962461.7,982639.0
SULAWESI TENGAH,2021,1005940.7,1022757.0
SULAWESI TENGAH,2022,1089890.7,1104012.0
SULAWESI TENGGARA,2015,532003.0,551933.0
SULAWESI TENGGARA,2016,564167.0,584113.0
SULAWESI TENGGARA,2017,589185.0,606453.0
SULAWESI TENGGARA,2018,622052.7,635517.0
SULAWESI TENGGARA,2019,676080.7,693112.0
SULAWESI TENGGARA,2020,728339.0,749902.0
SULAWESI TENGGARA,2021,777839.0,804515.0
SULAWESI TENGGARA,2022,841547.0,871622.0
SULAWESI UTARA,2015,601970.7,610245.0
SULAWESI UTARA,2016,635715.0,644351.0
SULAWESI UTARA,2017,669385.7,676983.0
SULAWESI UTARA,2018,701122.0,708930.0
SULAWESI UTARA,2019,750829.3,754077.0
SULAWESI UTARA,2020,788828.0,798485.0
SULAWESI UTARA,2021,828135.0,839585.0
SULAWESI UTARA,2022,880717.7,894208.0
SUMATERA BARAT,2015,792943.3,829674.0
SUMATERA BARAT,2016,866241.0,896197.0
SUMATERA BARAT,2017,912674.0,947979.0
SUMATERA BARAT,2018,964188.0,1003699.0
SUMATERA BARAT,2019,1035040.7,1077374.0
SUMATERA BARAT,2020,1092385.3,1128098.0
SUMATERA BARAT,2021,1147964.0,1173239.0
SUMATERA BARAT,2022,1264577.7,1291222.0
SUMATERA SELATAN,2015,679171.0,744075.0
SUMATERA SELATAN,2016,724448.0,788219.0
SUMATERA SELATAN,2017,760069.0,828360.0
SUMATERA SELATAN,2018,810181.7,879032.0
SUMATERA SELATAN,2019,846653.3,907828.0
SUMATERA SELATAN,2020,888890.3,940351.0
SUMATERA SELATAN,2021,928632.0,977097.0
SUMATERA SELATAN,2022,1007998.0,1064380.0
SUMATERA UTARA,2015,714280.3,744218.0
SUMATERA UTARA,2016,789562.0,812243.0
SUMATERA UTARA,2017,834272.7,864587.0
SUMATERA UTARA,2018,886291.3,914153.0
SUMATERA UTARA,2019,954269.0,990205.0
SUMATERA UTARA,2020,1006082.0,1038747.0
SUMATERA UTARA,2021,1060420.3,1099522.0
SUMATERA UTARA,2022,1149814.7,1198448.0
